order_month,customer_zip_code_prefix,total_payment,num_orders
2016-09,12244,40.5405,1
2016-09,69309,134.86769999999999,1
2016-09,99025,74.3094,1
2016-10,1230,107.9298,1
2016-10,2044,34.273799999999994,1
2016-10,2215,74.0817,1
2016-10,2435,138.4911,1
2016-10,2975,108.2466,1
2016-10,2993,113.6223,1
2016-10,3147,621.0269999999999,2
2016-10,3181,359.7561,1
2016-10,3211,38.233799999999995,1
2016-10,3254,190.6245,1
2016-10,3275,82.69,1
2016-10,3438,86.6943,1
2016-10,3531,296.84159999999997,1
2016-10,3683,65.11229999999999,1
2016-10,4015,31.92,1
2016-10,4024,119.9187,1
2016-10,4106,45.46,1
2016-10,4561,51.282,1
2016-10,4679,148.9554,1
2016-10,4760,74.0124,1
2016-10,4841,248.1831,1
2016-10,4849,43.787699999999994,1
2016-10,5007,18.4338,1
2016-10,5029,286.55,1
2016-10,5074,92.0403,1
2016-10,5362,116.99,1
2016-10,5409,44.5599,1
2016-10,5445,47.42,1
2016-10,5580,607.6422,1
2016-10,5709,60.340500000000006,1
2016-10,5846,138.8178,1
2016-10,6170,95.2677,1
2016-10,6449,160.3741,2
2016-10,6703,40.5405,1
2016-10,6730,1215.5022,1
2016-10,7020,95.2677,1
2016-10,7500,114.06779999999999,1
2016-10,8051,61.0236,1
2016-10,8161,51.4107,1
2016-10,8330,47.0646,1
2016-10,8431,29.9178,1
2016-10,8529,167.5377,1
2016-10,8566,90.24839999999999,1
2016-10,8583,962.2404,1
2016-10,8610,45.5004,1
2016-10,8683,264.81510000000003,1
2016-10,8693,60.548399999999994,1
2016-10,9015,87.51,1
2016-10,9030,235.59029999999998,1
2016-10,9040,80.1306,1
2016-10,9370,294.3765,1
2016-10,9390,65.5,1
2016-10,9580,116.6814,1
2016-10,9770,41.9958,1
2016-10,9855,64.80539999999999,1
2016-10,9895,35.95,1
2016-10,9990,41.5107,1
2016-10,11015,414.0232,2
2016-10,11025,84.7242,1
2016-10,11600,112.78,1
2016-10,11662,139.58010000000002,1
2016-10,11701,176.23,1
2016-10,11704,60.2514,1
2016-10,11730,247.2228,1
2016-10,12030,40.5405,1
2016-10,12071,74.0124,1
2016-10,12091,87.53,1
2016-10,12243,177.2,1
2016-10,12245,27.86,3
2016-10,12320,37.9764,1
2016-10,12460,22.6314,1
2016-10,12935,40.4514,1
2016-10,12952,116.3052,1
2016-10,13058,81.25919999999999,1
2016-10,13059,190.6344,1
2016-10,13061,60.409800000000004,1
2016-10,13068,140.9166,1
2016-10,13070,57.8259,1
2016-10,13081,160.7661,1
2016-10,13083,35.0658,1
2016-10,13175,50.232600000000005,1
2016-10,13185,132.1254,1
2016-10,13274,98.2377,1
2016-10,13304,86.6547,1
2016-10,13323,194.3073,1
2016-10,13347,116.17,1
2016-10,13360,86.0508,1
2016-10,13390,25.700400000000002,1
2016-10,13425,115.0083,1
2016-10,13480,335.0754,1
2016-10,13487,653.39,1
2016-10,13515,143.4906,1
2016-10,13562,40.4514,1
2016-10,13575,51.4206,1
2016-10,13610,312.0876,1
2016-10,13630,161.65,1
2016-10,13700,143.78,1
2016-10,13720,158.8356,1
2016-10,13820,200.7423,1
2016-10,13846,143.4906,1
2016-10,13871,264.81510000000003,1
2016-10,13930,114.99839999999999,1
2016-10,14085,529.6302000000001,1
2016-10,14166,35.5014,1
2016-10,14702,118.5921,1
2016-10,16012,73.04,1
2016-10,16402,29.86,1
2016-10,17740,75.17070000000001,1
2016-10,17990,143.4906,1
2016-10,18079,115.22,1
2016-10,18147,89.32770000000001,1
2016-10,18279,222.0768,1
2016-10,20071,219.6216,1
2016-10,20091,371.3985,2
2016-10,20231,149.54,1
2016-10,20250,55.62,2
2016-10,20260,259.30080000000004,1
2016-10,20271,339.2631,1
2016-10,20511,1120.0273,3
2016-10,20550,70.488,2
2016-10,20760,24.52,1
2016-10,20765,75.141,1
2016-10,20775,331.6508,2
2016-10,21215,147.96540000000002,1
2016-10,21220,181.59,1
2016-10,21331,20.11,1
2016-10,21610,145.60920000000002,1
2016-10,21616,48.064499999999995,1
2016-10,21715,611.56,1
2016-10,21853,110.3949,1
2016-10,22071,124.8588,1
2016-10,22250,109.8108,1
2016-10,22290,110.1078,1
2016-10,22410,261.2907,1
2016-10,22421,219.6216,1
2016-10,22440,149.48010000000002,1
2016-10,22713,33.519999999999996,2
2016-10,22725,521.46,1
2016-10,22740,126.5814,1
2016-10,22745,161.56799999999998,1
2016-10,22770,35.2539,1
2016-10,22793,111.22,1
2016-10,23012,1409.3145,1
2016-10,23060,970.1109,1
2016-10,23075,73.8441,1
2016-10,23092,86.88,7
2016-10,24230,310.5828,1
2016-10,24445,466.21079999999995,2
2016-10,24710,443.0151,1
2016-10,24913,86.6943,1
2016-10,24937,335.2932,1
2016-10,25250,160.974,1
2016-10,25261,113.32,1
2016-10,25740,30.42,1
2016-10,25946,449.65,1
2016-10,26564,56.4894,1
2016-10,27351,103.55399999999999,1
2016-10,27940,79.4475,1
2016-10,28010,310.44419999999997,1
2016-10,28470,50.3514,1
2016-10,28500,64.4589,1
2016-10,28735,1386.7326,1
2016-10,28993,71.78490000000001,1
2016-10,29122,775.3878,1
2016-10,29154,88.2684,1
2016-10,29300,119.43,1
2016-10,29400,74.5767,1
2016-10,30350,315.81,1
2016-10,30380,133.452,1
2016-10,30411,179.0118,2
2016-10,30441,152.7471,1
2016-10,30660,42.77,1
2016-10,30668,168.597,1
2016-10,31140,34.42,1
2016-10,31210,264.81510000000003,1
2016-10,31720,59.9148,1
2016-10,31870,183.0213,1
2016-10,31910,190.2681,1
2016-10,32013,72.6,1
2016-10,32400,148.4109,1
2016-10,33400,40.15,1
2016-10,35162,91.34729999999999,1
2016-10,35170,45.0351,1
2016-10,35300,210.1968,1
2016-10,35400,65.3697,1
2016-10,35547,104.3361,1
2016-10,35730,68.9337,1
2016-10,35770,34.0758,1
2016-10,36015,414.8694,1
2016-10,36016,254.0835,1
2016-10,36660,88.4862,1
2016-10,37026,104.1381,1
2016-10,37060,129.16,1
2016-10,37470,75.7053,1
2016-10,37478,134.5609,2
2016-10,37490,61.0236,1
2016-10,37701,392.27,2
2016-10,37704,107.7516,1
2016-10,38300,59.994,1
2016-10,38360,34.0758,1
2016-10,38400,215.127,1
2016-10,38414,294.9309,1
2016-10,38550,71.29979999999999,1
2016-10,39402,394.1388,1
2016-10,39860,157.7565,1
2016-10,45355,202.3362,1
2016-10,45603,667.5867000000001,1
2016-10,45820,40.79,1
2016-10,46860,75.08160000000001,1
2016-10,49096,79.99,1
2016-10,49680,175.0815,1
2016-10,49945,88.1892,1
2016-10,50090,95.58,1
2016-10,50780,76.51,1
2016-10,51030,101.6631,1
2016-10,52091,271.03229999999996,1
2016-10,53635,809.9388,1
2016-10,55150,143.09459999999999,1
2016-10,56580,177.28,1
2016-10,57017,75.83399999999999,1
2016-10,57570,53.3,1
2016-10,58305,74.74,1
2016-10,59042,192.9015,1
2016-10,59054,462.52799999999996,1
2016-10,59152,176.3289,1
2016-10,59200,40.7682,1
2016-10,60060,588.5154,1
2016-10,60175,275.0319,1
2016-10,60347,115.72109999999999,1
2016-10,60811,63.75600000000001,1
2016-10,60822,149.39,1
2016-10,62050,85.08,1
2016-10,62570,655.1325,1
2016-10,62680,61.99,1
2016-10,64056,243.6291,1
2016-10,65065,625.2,1
2016-10,65110,261.43919999999997,1
2016-10,65300,44.2926,1
2016-10,65590,64.18169999999999,1
2016-10,67013,235.07549999999998,1
2016-10,68005,119.79990000000001,1
2016-10,68193,258.09299999999996,1
2016-10,68638,663.93,1
2016-10,69309,69.02,1
2016-10,71009,121.968,1
2016-10,71020,664.5968999999999,1
2016-10,71699,50.5395,1
2016-10,71925,153.648,1
2016-10,72115,141.966,1
2016-10,72460,55.3905,1
2016-10,74015,65.043,1
2016-10,74070,268.0425,1
2016-10,74820,60.449400000000004,1
2016-10,74845,456.10830000000004,3
2016-10,74915,73.4085,1
2016-10,75106,67.7061,1
2016-10,75250,68.0328,1
2016-10,76700,153.02429999999998,1
2016-10,78015,397.1781,1
2016-10,78075,100.4256,1
2016-10,78556,446.9256,1
2016-10,80610,81.081,1
2016-10,80820,86.4171,1
2016-10,81030,66.01320000000001,1
2016-10,81150,63.8352,1
2016-10,82980,402.8508,1
2016-10,83045,70.89789999999999,3
2016-10,83540,33.0858,1
2016-10,84940,314.72099999999995,1
2016-10,85710,69.49,1
2016-10,86010,57.8259,1
2016-10,86020,90.3672,1
2016-10,86037,154.6578,1
2016-10,86038,111.39479999999999,1
2016-10,86181,87.9,1
2016-10,87083,263.2905,1
2016-10,87200,70.49789999999999,1
2016-10,87310,45.0351,1
2016-10,87600,108.84,1
2016-10,87820,379.4076,1
2016-10,88058,151.9749,1
2016-10,88070,75.4281,1
2016-10,88111,315.8991,1
2016-10,88117,97.8417,1
2016-10,88735,776.952,1
2016-10,89110,44.045100000000005,1
2016-10,89124,148.0446,1
2016-10,89247,84.9618,1
2016-10,89595,212.8302,1
2016-10,89694,124.9875,1
2016-10,89820,670.1508,1
2016-10,90040,53.73,1
2016-10,90540,172.03230000000002,1
2016-10,91250,475.01700000000005,2
2016-10,91260,182.65,1
2016-10,91430,268.0425,1
2016-10,91720,114.99839999999999,1
2016-10,92110,112.0383,1
2016-10,93540,68.6565,1
2016-10,95020,263.44890000000004,1
2016-10,95097,450.4599,1
2016-10,95500,972.5858999999999,1
2016-10,95630,107.37,1
2016-10,96413,154.1,1
2016-10,96501,61.0236,1
2016-10,96832,62.33,1
2016-10,97450,454.54859999999996,1
2016-10,97502,249.6681,1
2016-10,98280,39.09,1
2016-10,98290,51.0395,2
2016-10,98801,113.17,1
2016-10,98803,55.6,1
2016-10,98900,45.7,1
2016-10,99950,150.5988,1
2016-12,80030,19.4238,1
2017-01,1106,90.9216,1
2017-01,1140,43.1838,1
2017-01,1224,121.7601,1
2017-01,1229,213.98850000000002,1
2017-01,1238,73.43820000000001,1
2017-01,1258,239.64,1
2017-01,1303,15.552900000000001,1
2017-01,1307,64.8945,1
2017-01,1310,87.021,1
2017-01,1407,2985.8499,1
2017-01,1418,49.72,1
2017-01,1424,102.8,1
2017-01,1457,237.501,1
2017-01,1527,774.5166,1
2017-01,1532,174.46769999999998,1
2017-01,2111,105.45479999999999,1
2017-01,2125,144.54989999999998,1
2017-01,2185,162.1,1
2017-01,2346,242.8371,1
2017-01,2403,41.5107,1
2017-01,2452,213.6024,1
2017-01,2469,41.9,1
2017-01,2521,62.0235,1
2017-01,2636,91.3365,2
2017-01,3063,667.8936,2
2017-01,3134,106.1973,1
2017-01,3179,114.77,1
2017-01,3309,102.87089999999999,1
2017-01,3317,32.9868,1
2017-01,3337,32.62,1
2017-01,3342,32.62,1
2017-01,3344,58.0536,1
2017-01,3402,383.625,1
2017-01,3572,174.6558,2
2017-01,3582,702.8307,1
2017-01,3630,293.81219999999996,1
2017-01,3701,101.14,1
2017-01,3721,42.8274,1
2017-01,3910,75.9528,2
2017-01,3928,44.66,1
2017-01,3929,98.1486,1
2017-01,4021,48.9258,1
2017-01,4075,43.4214,1
2017-01,4103,136.9665,1
2017-01,4140,237.2436,1
2017-01,4222,49.559400000000004,1
2017-01,4272,80.2791,1
2017-01,4335,77.20020000000001,1
2017-01,4362,45.163799999999995,1
2017-01,4405,32.2938,1
2017-01,4505,22.4928,1
2017-01,4521,222.55,1
2017-01,4530,224.7102,1
2017-01,4550,85.15979999999999,1
2017-01,4551,74.49,1
2017-01,4552,46.02,1
2017-01,4569,346.4505,1
2017-01,4607,30.551399999999997,1
2017-01,4609,1837.16,1
2017-01,4661,19.512900000000002,1
2017-01,4679,67.1814,1
2017-01,4709,55.46,1
2017-01,4747,164.142,1
2017-01,4764,86.78,1
2017-01,4836,116.721,1
2017-01,4849,134.4915,1
2017-01,4851,327.8979,1
2017-01,4856,309.87,1
2017-01,4902,146.5101,1
2017-01,4911,50.31,1
2017-01,5008,49.559400000000004,1
2017-01,5009,599.643,1
2017-01,5014,43.5699,1
2017-01,5018,63.01,1
2017-01,5025,106.821,1
2017-01,5208,186.12,1
2017-01,5319,214.236,1
2017-01,5409,60.8058,1
2017-01,5451,168.2901,1
2017-01,5501,137.87730000000002,1
2017-01,5527,48.5199,1
2017-01,5633,645.3216,1
2017-01,5685,41.5107,1
2017-01,5756,125.1063,2
2017-01,5832,220.6215,1
2017-01,6086,37.5705,1
2017-01,6528,95.59,1
2017-01,6604,75.9726,1
2017-01,6624,131.8977,2
2017-01,6653,72.9,1
2017-01,6655,254.331,1
2017-01,6660,231.42,1
2017-01,6663,198.94,2
2017-01,6719,30.6504,1
2017-01,6722,177.99,1
2017-01,6768,613.2654,1
2017-01,6775,23.93,1
2017-01,6806,504.48420000000004,2
2017-01,6868,38.0358,1
2017-01,6900,121.3146,1
2017-01,7041,171.27,1
